arena;exp;maze;starving_cond;habituation_cond;first_choice;tot_time_blue;tot_time_oran;tot_time_neutral;rate_interactions_blue;rate_interactions_oran;max_consec_time_blue;max_consec_time_oran;tot_time_reinforc_obj
2;5;0;fed;unused;blue;1964.7048799999998;0.0;1635.0760799999998;1.0;0.0;958.26816;0.0;
2;5;1;fed;unused;orange;251.60055999999997;3101.51048;246.66992;0.27631578947368424;0.7236842105263158;63.23631999999999;440.65439999999995;
2;5;2;fed;unused;orange;517.8206399999999;673.5668;2408.3935199999996;0.3684210526315789;0.631578947368421;139.26471999999998;81.88999999999999;
7;5;0;fed;unused;orange;325.52567999999997;242.15303999999998;3032.1022399999997;0.7096774193548387;0.2903225806451613;53.650879999999994;50.1684;
7;5;1;fed;unused;orange;0.03448;2505.5581599999996;1094.18832;0.0;1.0;0.03448;2371.4309599999997;
7;5;2;fed;unused;orange;0.0;0.03448;3599.74648;;;0.0;0.03448;
1;5;0;fed;unused;orange;239.22223999999997;1061.3288799999998;2299.22984;0.5384615384615384;0.46153846153846156;115.33559999999999;879.4123999999999;
1;5;1;fed;unused;orange;1157.2867199999998;1739.30912;703.18512;0.4097560975609756;0.5902439024390244;302.14824;174.29639999999998;
1;5;2;fed;unused;blue;1012.0224799999999;970.6464799999999;1617.1119999999999;0.375;0.625;569.9199199999999;553.36952;
0;5;0;fed;unused;blue;986.6451999999999;1164.7688799999999;1448.3668799999998;0.525;0.475;268.42679999999996;261.87559999999996;
0;5;1;fed;unused;blue;0.03448;0.0;3599.74648;;;0.03448;0.0;
0;5;2;fed;unused;orange;868.51672;852.1387199999999;1879.1255199999998;0.48026315789473684;0.5197368421052632;37.307359999999996;38.65208;
3;5;0;fed;unused;orange;879.17104;668.3603199999999;2052.2495999999996;0.5109489051094891;0.48905109489051096;48.340959999999995;69.54616;
3;5;1;fed;unused;blue;1517.0855199999999;2042.8365599999997;39.85888;0.3821138211382114;0.6178861788617886;306.56167999999997;179.53735999999998;
3;5;2;fed;unused;blue;718.2528799999999;724.01104;2157.5170399999997;0.4268292682926829;0.573170731707317;88.54463999999999;162.81455999999997;
5;5;0;fed;unused;blue;649.6031999999999;383.03831999999994;2567.13944;0.574468085106383;0.425531914893617;138.19583999999998;117.23199999999999;
5;5;1;fed;unused;blue;630.8115999999999;1892.2279199999998;1076.74144;0.36585365853658536;0.6341463414634146;29.721759999999996;136.47184;
5;5;2;fed;unused;blue;327.28416;421.34559999999993;2851.1512;0.417910447761194;0.582089552238806;45.06536;29.480399999999996;
4;5;0;fed;unused;blue;463.68703999999997;562.024;2574.06992;0.4583333333333333;0.5416666666666666;63.305279999999996;110.57735999999998;
4;5;1;fed;unused;orange;908.8583199999999;2353.32896;337.59367999999995;0.4304635761589404;0.5695364238410596;54.40944;210.87967999999998;
4;5;2;fed;unused;blue;2562.8983999999996;35.96263999999999;1000.9199199999999;0.9259259259259259;0.07407407407407407;733.5619999999999;11.516319999999999;
6;5;0;fed;unused;orange;29.273519999999998;182.39919999999998;3388.1082399999996;0.2;0.8;14.343679999999999;38.238319999999995;
6;5;2;fed;unused;orange;499.47727999999995;1166.66528;1933.6383999999998;0.42857142857142855;0.5714285714285714;143.50575999999998;961.992;
8;5;0;fed;unused;blue;440.65439999999995;453.68783999999994;2705.4387199999996;0.47560975609756095;0.524390243902439;38.65208;31.376799999999996;
8;5;1;fed;unused;blue;0.06896;0.0;3599.7119999999995;;;0.03448;0.0;
8;5;2;fed;unused;orange;179.50287999999998;149.33288;3270.9451999999997;0.3333333333333333;0.6666666666666666;94.99239999999999;83.37263999999999;
2;1;0;fed;unused;orange;574.092;1135.28848;1890.4004799999998;0.5267857142857143;0.4732142857142857;42.44488;533.30216;
2;1;1;fed;unused;blue;933.5115199999999;1954.2229599999998;712.04648;0.3803921568627451;0.6196078431372549;82.54512;78.82127999999999;
2;1;2;fed;unused;orange;252.32464;1946.7752799999998;1400.68104;0.3402061855670103;0.6597938144329897;28.135679999999997;1259.51992;
7;1;0;starved;unused;orange;1266.14008;358.28168;1975.3591999999999;0.7373737373737373;0.26262626262626265;23.377439999999996;7.723519999999999;
7;1;1;starved;unused;blue;763.59408;2438.39112;397.79576;0.41509433962264153;0.5849056603773585;227.32663999999997;726.2522399999999;
7;1;2;starved;unused;blue;430.79312;728.63136;2440.35648;0.45695364238410596;0.543046357615894;14.37816;32.61808;
1;1;0;fed;unused;orange;1479.9505599999998;630.9495199999999;1488.88088;0.5197368421052632;0.48026315789473684;311.0096;32.445679999999996;
1;1;1;fed;unused;orange;0.0;3599.0913599999994;0.6896;0.0;1.0;0.0;3560.4048;
1;1;2;fed;unused;blue;685.9795999999999;691.7722399999999;2222.0291199999997;0.44680851063829785;0.5531914893617021;51.547599999999996;13.378239999999998;
0;1;0;fed;unused;blue;1233.9357599999998;854.00064;1511.8445599999998;0.5798319327731093;0.42016806722689076;181.95095999999998;185.22655999999998;
0;1;1;fed;unused;orange;228.05071999999998;1514.4305599999998;1857.2996799999999;0.19607843137254902;0.803921568627451;37.893519999999995;122.40399999999998;
0;1;2;fed;unused;blue;500.06343999999996;434.06872;2665.6488;0.4774774774774775;0.5225225225225225;52.478559999999995;24.54976;
3;1;0;fed;unused;blue;509.92472;909.8237599999999;2180.03248;0.5221238938053098;0.4778761061946903;11.102559999999999;65.71888;
3;1;1;fed;unused;orange;758.8703199999999;2155.6206399999996;685.29;0.3716216216216216;0.6283783783783784;22.82576;43.20343999999999;
3;1;2;fed;unused;blue;389.72743999999994;849.9664799999999;2360.08704;0.43452380952380953;0.5654761904761905;18.170959999999997;40.23815999999999;
5;1;0;starved;unused;blue;604.2275199999999;611.88208;2383.67136;0.6;0.4;20.067359999999997;35.47992;
5;1;1;starved;unused;orange;874.8610399999999;1855.2653599999999;869.65456;0.3743016759776536;0.6256983240223464;77.51104;73.61479999999999;
5;1;2;starved;unused;blue;672.3599999999999;1158.3211199999998;1769.0998399999999;0.3888888888888889;0.6111111111111112;62.06399999999999;31.342319999999997;
4;1;0;starved;unused;orange;2946.9711199999997;0.03448;652.77536;1.0;0.0;2358.0872;0.03448;
4;1;1;starved;unused;orange;552.85232;1914.46752;1132.46112;0.4;0.6;41.0312;142.16103999999999;
4;1;2;starved;unused;orange;526.4406399999999;796.4535199999999;2276.8867999999998;0.4726027397260274;0.5273972602739726;25.928959999999996;82.33824;
6;1;0;starved;unused;orange;857.2762399999999;872.5853599999999;1869.9193599999999;0.5672131147540984;0.43278688524590164;30.41136;23.618799999999997;
